songid,track,artist,country,streams,avg_speech
6UZJOc2HBrTp9DYfir9N8n,Regime Fechado - Ao Vivo,Simone & Simaria,Brazil,373364,0.111282955
0EM85Qj3526QtxCBOQL6rT,Du,Nemo,Switzerland,7340,0.04542
3rPSxRexVxok0rDH9laGgU,Quisiera Ser Como el Perro,Roberto Parra,Chile,37860,0.079828571
6aNkqtxWpCbP6fwMuscKEU,Nowy Kolor feat. Taco Hemingway,Otsochodzi,Poland,21474,0.192492
3iGjLTDqokSuf6yYI83wzi,Me Emborrachare - Bachata Radio Edit,Grupo Extra,Honduras,1959,0.0891
4unOsvr9C2NqI9aJXrxpCy,Sirenas,Taburete,Spain,62740,0.107578571
4prmUBle7TtAeeUgCnsc3Z,Probablemente,Christian Nodal,Mexico,154957,0.063064286
3IyPnNX142pvWx6D5CiimD,Amantes,Greeicy,Colombia,38396,0.100121739
42nrX5b8ZUYRcw2puNY8tb,Titibo-Tibo,Moira Dela Torre,Philippines,145333,0.051766667
3kkObn08oHrNmCFHSNR0jD,Flex Like Ouu,Lil Pump,USA,201474,0.148083333
5OSH98PlarYwozcSR7lY19,Mamacita,KESI,Denmark,80448,0.108117143
2z3joGXrdGL2iEjIKQTiN1,Ville Mentality,J. Cole,Ireland,3523,0.092825
5CwcXgsF9jcyqwkl5uxKnD,Akad,Payung Teduh,Indonesia,55034,0.074726667
1ALL550OX4NZ84q8EMVd2M,Footprints in the Sand,Ian Erix,Greece,2662,0.154889412
4VoJMNVZWFuJ7G9qKdO7NG,Patsergedrag,Sevn Alias,Netherlands,331622,0.177204
4STCTQ1h0VuWfvDyhGOxkv,Merry Christmas Baby,Otis Redding,Australia,110566,0.112815924
5eek2X5459T1HoYJk2CKXv,Last Resort,Papa Roach,Czech Republic,1562,0.109452632
46gSY0U7ZZCmd7EuJuo15N,恋音と雨空,AAA,Japan,12792,0.064568605
3lPrs1fylHXjPPfSioDXDg,Eteği Belinde,Manuş Baba,Turkey,37592,0.071838519
262Q20zX8BmAOIA6cFB2t9,刚好遇见你,Li Yugang,Singapore,5253,0.047166667
0ihguwGVwKihJ1Nj8fGQlY,"Blinded By Your Grace, Pt. 2 (feat. MNEK)",Stormzy,United Kingdom,201321,0.116665789
3ZOEytgrvLwQaqXreDs2Jx,Can't Stop,Red Hot Chili Peppers,Latvia,1546,0.050461538
33bnxcjePIkcmNjEFTJX0l,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,Paraguay,25626,0.103127305
7dxGZfWqbwSMxfNuNZR6TD,Bruk It Dung,Eshconinco,Costa Rica,2786,0.1507
3dyI5HVTPyxC5OWwz7ypvb,Ponle La Firma,Original Fat,Panama,1374,0.241
4BtGQ89Xgmf9NmnFD9RBRc,Komm wir chillen (feat. Yonii & Bausa) - Bonustrack,Capo,Germany,49192,0.303
62HFUYpmzbNzCA2WjKAzTW,Tergantung Sepi,Haqiem Rusli,Malaysia,6450,0.03535
6uP2DBITa982EzgIWSrlDY,B.O.B.A.,JóiPé,Iceland,5919,0.127665854
5OHOykHs3Ct2pgbqod8uMD,Senorita,Kay One,Austria,13336,0.201288235
1W567B2J4KBAaSWoAI6JjT,Ese Hombre,Los 4,Peru,12804,0.084181818
5Kelvlf6aU6is8muBjaZ4S,Better Days,Hedley,Canada,32105,0.145077419
5IKWRPO5NGaeNIXF4rkbfZ,La musica non c'è,Coez,Italy,174797,0.106052941
7mGdJWJETc696zijUeZ2FD,Popkorni,JVG,Finland,124562,0.090722222
0BgPDXGfhaAXZFeROQMCxn,Robím To Čo Chcem,Ego,Slovakia,4446,0.1691375
2q3B7GLCEA4uYvuo2g5P82,Piel a Piel,Dame 5,Uruguay,4378,0.094814
13LoCHeSbhEO3YPyMxjgSY,Rett i foret,Karpe Diem,Norway,69603,0.0448
3029IUQQ26whiZDLqUMWLC,Esfrega Esfrega,Deejay Telio,Portugal,10753,0.134825
6VVeQurYVCeuIaxfpN6Y7X,BOOM,Tiësto,Hungary,1996,0.1411875
7shcnBgfWJ6AT7jmvAw4xO,Helt seriöst,Kaliffa,Sweden,299005,0.081868
2xLGWmTEfHH9kxDNEGgMNc,Mwaka Moon,Kalash,Belgium,17559,0.182986364
4Y2oUgKIeCRkN93TUzFljq,Que Nadie Sepa Mi Sufrir,La Sonora Dinamita,Guatemala,1841,0.05292
2zqKBVUZ4qdIchFwNLOWo8,Pin Pon,Liro Shaq,Dominican Republic,4586,0.123046809
