songid,track,artist,region,datee,position,streams,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_sig,country_name,rank,score,high,low,gdp,fam,health,freedom,gen,trust,dys,country_name,cap_name,cap_lat,cap_long,cc,continent
6urLjX35oXXRYtcH1b3dCh,"Dubai Shit","Huncho Jack",gr,2017-12-30,74,1054,0.767,0.529,5.0,-4.421,0.0,0.0495,0.0595,0.0,0.089,0.247,138.076,228431.0,4.0,Greece,87,5.22700023651123,5.3252461694181,5.12875430360436,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,1.74922156333923,Greece,Athens,37.9833333333333,23.733333,GR,Europe
0ocIyziRJhnicqGm1u0m1X,"Es wird Zeit",Kollegah,at,2017-12-30,178,2427,0.452,0.685,10.0,-7.143,0.0,0.336,0.121,0.0,0.127,0.673,85.718,270027.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
7H46BzLoUnOmeMnpmTlddm,"春夏秋冬",Hilcrhyme,jp,2017-12-05,66,5933,0.502,0.783,7.0,-4.628,1.0,0.0683,0.658,0.0,0.206,0.448,139.846,297640.0,4.0,Japan,51,5.92000007629395,5.99071944460273,5.84928070798516,1.41691517829895,1.43633782863617,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,1.36322355270386,Japan,Tokyo,35.6833333333333,139.75,JP,Asia
2Uqu3vMH3NxjaQBpgp7u6q,"Nuestro Secreto","Pijama Party",uy,2017-07-29,196,1052,0.747,0.607,7.0,-7.443,1.0,0.0456,0.0222,1.68e-06,0.092,0.658,110.113,186000.0,4.0,Uruguay,28,6.4539999961853,6.54590621769428,6.36209377467632,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,Uruguay,Montevideo,-34.85,-56.166667,UY,"South America"
6UZJOc2HBrTp9DYfir9N8n,"Regime Fechado - Ao Vivo","Simone & Simaria",br,2017-12-31,11,373364,0.673,0.877,1.0,-3.108,0.0,0.122,0.0613,0.0,0.331,0.819,137.937,232486.0,4.0,Brazil,22,6.63500022888184,6.72546950161457,6.5445309561491,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2.76926708221436,Brazil,Brasilia,-15.7833333333333,-47.916667,BR,"South America"
5TmZYdHW6HJ9gt7Aokuql5,SUTRA,"Sebastian Yatra",py,2017-12-31,26,7190,0.746,0.745,9.0,-3.311,1.0,0.146,0.0474,1.71e-06,0.15,0.828,180.081,203853.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
5EdbjgBXns1RIP1YGnSm9u,Banken,Blak,dk,2017-05-25,184,8481,0.853,0.516,6.0,-6.594,0.0,0.11,0.11,0.0,0.0978,0.397,100.017,185244.0,4.0,Denmark,2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,Denmark,Copenhagen,55.6666666666667,12.583333,DK,Europe
2NWZiXyRdKEolP8QrjBGmp,"Andere Liga","RAF Camora",at,2017-12-31,86,6187,0.442,0.766,1.0,-5.705,0.0,0.176,0.193,1.48e-05,0.098,0.171,96.889,221965.0,4.0,Austria,13,7.00600004196167,7.07066981211305,6.94133027181029,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,Austria,Vienna,48.2,16.366667,AT,Europe
5DoLhdU27owX1NMrKLUbUl,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",uy,2017-12-31,148,1579,0.863,0.669,6.0,-5.952,0.0,0.282,0.111,0.0,0.0569,0.947,164.062,260545.0,4.0,Uruguay,28,6.4539999961853,6.54590621769428,6.36209377467632,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,Uruguay,Montevideo,-34.85,-56.166667,UY,"South America"
672amoeenDyj593OhDRgak,"Angel Zoo",Phlake,dk,2017-12-31,148,22823,0.669,0.683,0.0,-5.214,1.0,0.173,0.207,3.99e-06,0.171,0.452,80.022,159720.0,4.0,Denmark,2,7.52199983596802,7.58172806486487,7.46227160707116,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,Denmark,Copenhagen,55.6666666666667,12.583333,DK,Europe
05rJdH2MRLJ3sQoEUO78qs,Paradinha,Anitta,py,2017-09-09,183,1025,0.695,0.775,11.0,-5.041,0.0,0.0887,0.0117,0.191,0.0702,0.869,180.054,141317.0,4.0,Paraguay,70,5.49300003051758,5.57738126963377,5.40861879140139,0.932537317276001,1.50728487968445,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,1.6853334903717,Paraguay,Asuncion,-25.2666666666667,-57.666667,PY,"South America"
5ut9BH3m0lH2kRfZc3YSKV,"Baila Morena","Dame 5",uy,2017-12-31,77,2685,0.43,0.749,11.0,-6.16,0.0,0.225,0.0452,1.47e-06,0.211,0.892,208.205,153000.0,4.0,Uruguay,28,6.4539999961853,6.54590621769428,6.36209377467632,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,Uruguay,Montevideo,-34.85,-56.166667,UY,"South America"
4YAZiKp1RKs0MuLe7zWtFU,"Fénix",Separ,sk,2017-08-18,62,1092,0.586,0.708,7.0,-5.757,1.0,0.178,0.113,0.0,0.108,0.389,160.07,242000.0,4.0,Slovakia,40,6.09800004959106,6.1773484121263,6.01865168705583,1.32539355754852,1.50505924224854,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2.09777665138245,Slovakia,Bratislava,48.15,17.116667,SK,Europe
