songid,track,artist,region,datee,position,streams,danceability,energy,song_key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_sig,country_name,rank,score,high,low,gdp,fam,health,freedom,gen,trust,dys
6urLjX35oXXRYtcH1b3dCh,Dubai Shit,Huncho Jack,gr,12/30/17,74,1054,0.767,0.529,5,-4.421,0,0.0495,0.0595,0,0.089,0.247,138.076,228431,4,Greece,87,5.227000237,5.325246169,5.128754304,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,1.749221563
0ocIyziRJhnicqGm1u0m1X,Es wird Zeit,Kollegah,at,12/30/17,178,2427,0.452,0.685,10,-7.143,0,0.336,0.121,0,0.127,0.673,85.718,270027,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
7H46BzLoUnOmeMnpmTlddm,春夏秋冬,Hilcrhyme,jp,12/5/17,66,5933,0.502,0.783,7,-4.628,1,0.0683,0.658,0,0.206,0.448,139.846,297640,4,Japan,51,5.920000076,5.990719445,5.849280708,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,1.363223553
2Uqu3vMH3NxjaQBpgp7u6q,Nuestro Secreto,Pijama Party,uy,7/29/17,196,1052,0.747,0.607,7,-7.443,1,0.0456,0.0222,1.68E-06,0.092,0.658,110.113,186000,4,Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534
6UZJOc2HBrTp9DYfir9N8n,Regime Fechado - Ao Vivo,Simone & Simaria,br,12/31/17,11,373364,0.673,0.877,1,-3.108,0,0.122,0.0613,0,0.331,0.819,137.937,232486,4,Brazil,22,6.635000229,6.725469502,6.544530956,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,2.769267082
5TmZYdHW6HJ9gt7Aokuql5,SUTRA,Sebastian Yatra,py,12/31/17,26,7190,0.746,0.745,9,-3.311,1,0.146,0.0474,1.71E-06,0.15,0.828,180.081,203853,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
5EdbjgBXns1RIP1YGnSm9u,Banken,Blak,dk,5/25/17,184,8481,0.853,0.516,6,-6.594,0,0.11,0.11,0,0.0978,0.397,100.017,185244,4,Denmark,2,7.521999836,7.581728065,7.462271607,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,2.313707352
2NWZiXyRdKEolP8QrjBGmp,Andere Liga,RAF Camora,at,12/31/17,86,6187,0.442,0.766,1,-5.705,0,0.176,0.193,1.48E-05,0.098,0.171,96.889,221965,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
5DoLhdU27owX1NMrKLUbUl,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",Super Yei,uy,12/31/17,148,1579,0.863,0.669,6,-5.952,0,0.282,0.111,0,0.0569,0.947,164.062,260545,4,Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534
672amoeenDyj593OhDRgak,Angel Zoo,Phlake,dk,12/31/17,148,22823,0.669,0.683,0,-5.214,1,0.173,0.207,3.99E-06,0.171,0.452,80.022,159720,4,Denmark,2,7.521999836,7.581728065,7.462271607,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,2.313707352
05rJdH2MRLJ3sQoEUO78qs,Paradinha,Anitta,py,9/9/17,183,1025,0.695,0.775,11,-5.041,0,0.0887,0.0117,0.191,0.0702,0.869,180.054,141317,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
5ut9BH3m0lH2kRfZc3YSKV,Baila Morena,Dame 5,uy,12/31/17,77,2685,0.43,0.749,11,-6.16,0,0.225,0.0452,1.47E-06,0.211,0.892,208.205,153000,4,Uruguay,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534
4YAZiKp1RKs0MuLe7zWtFU,Fénix,Separ,sk,8/18/17,62,1092,0.586,0.708,7,-5.757,1,0.178,0.113,0,0.108,0.389,160.07,242000,4,Slovakia,40,6.09800005,6.177348412,6.018651687,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852,2.097776651
3OQXAp3uGQvkPi4DAMaM5p,Adiós Amor,Christian Nodal,mx,8/24/17,50,105315,0.431,0.452,2,-5.165,1,0.0346,0.324,0,0.313,0.742,177.78,202480,4,Mexico,25,6.578000069,6.671148908,6.48485123,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,2.837154865
41kE0bBBpwPUZEZKxSIROh,Old School,Urban Cone,gb,1/27/17,145,45307,0.686,0.748,2,-5.702,1,0.0434,0.0161,0.0406,0.296,0.259,94.995,183988,4,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,1.704143524
7fUWZUNj5qbEuoL6K9947g,Heute mit mir,Nimo,at,12/31/17,93,5724,0.837,0.84,5,-4.78,0,0.0447,0.338,2.11E-05,0.0752,0.845,117.015,221680,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
4BxHfA1dWlOJ66dKvAdQPr,Eikö Sua Hävetä,Tuure Boelius,fi,10/8/17,192,5803,0.801,0.563,9,-3.812,0,0.0789,0.11,0,0.0374,0.695,147.044,170079,4,Finland,5,7.468999863,7.527542076,7.41045765,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543,2.430181503
20ZAJdsKB5IGbGj4ilRt2o,Dile Que Tu Me Quieres,Ozuna,py,8/24/17,67,2287,0.721,0.687,1,-6.682,1,0.0782,0.0998,0,0.0679,0.825,175.914,226400,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,Calum Scott,au,11/12/17,193,20751,0.608,0.174,1,-8.796,1,0.0332,0.851,1.92E-05,0.0855,0.193,112.175,260004,4,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
369SOcTvxnm9DWYIzoNzal,Skandale,Bonez MC,at,2/7/17,200,1469,0.719,0.837,9,-5.109,0,0.222,0.119,7.77E-05,0.0583,0.571,99.073,194510,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
4okba5wu9mMLXx79DXLKi3,La Rompe Corazones,Daddy Yankee,py,12/31/17,97,2068,0.685,0.859,5,-2.595,0,0.0553,0.116,0,0.317,0.891,176.018,204520,4,Paraguay,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.68533349
2Inz7gGPGgieN0CTw9TOOs,September Song,JP Cooper,lv,11/13/17,53,1043,0.622,0.609,0,-6.702,0,0.038,0.0455,0,0.0903,0.398,95.955,220291,4,Latvia,54,5.849999905,5.920263538,5.779736271,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727,1.993655205
00vk0sEfb6mr2ehwSw0Uhn,Don't Be So Shy - Filatov & Karas Remix,Imany,nl,3/2/17,176,14709,0.773,0.849,8,-8.345,0,0.0587,0.057,0.0103,0.397,0.913,119.981,192227,4,Netherlands,6,7.376999855,7.427425841,7.326573869,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,2.294804096
07TAUihsoCBnLWWXuZYUyw,Sowieso - Radio Version,Mark Forster,at,12/31/17,176,3848,0.785,0.587,1,-7.712,0,0.0841,0.134,0,0.109,0.686,127.996,162773,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
361EamWYN312TFEpgNBDTE,Élnünk Kellett Volna,Halott Pénz,hu,12/30/17,150,1133,0.653,0.935,10,-5.785,1,0.0955,0.0203,0,0.154,0.572,122.093,220328,4,Hungary,75,5.323999882,5.403039709,5.244960054,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,1.716459274
7h6S1r4NZ18h7m4zs0UPaK,Little Boy,KSI,gb,10/5/17,195,38019,0.848,0.874,10,-2.237,0,0.313,0.0494,0.00207,0.342,0.251,139.962,130821,4,United Kingdom,19,6.714000225,6.783791761,6.644208689,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066,1.704143524
49QLsKe0brkbWHK7GKTGHf,Saki,Sıla,tr,11/9/17,200,6932,0.695,0.776,5,-4.875,1,0.0546,0.584,7.14E-06,0.244,0.452,151.971,243267,4,Turkey,69,5.5,5.594864963,5.405135037,1.198274374,1.337753177,0.637605608,0.3007406,0.046693042,0.09967158,1.879277945
7k6Wf3BN6m2kCGIAfouMwP,Not Above Love,AlunaGeorge,au,4/26/17,197,16607,0.737,0.741,10,-4.96,1,0.045,0.421,0,0.476,0.572,96.037,190347,4,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
77lqbary6vt1DSc1MBN6sx,You Were Right,RÜFÜS,au,8/23/17,200,18603,0.708,0.793,5,-5.426,0,0.0341,0.0138,0.00227,0.118,0.735,122.014,239418,4,Australia,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
7DuvVy7JfFgXwWlVzyyPys,Pull Up N Wreck (& Metro Boomin),Big Sean,gr,12/9/17,107,1020,0.49,0.44,10,-7.76,1,0.353,0.00806,0.00103,0.186,0.091,173.095,227533,4,Greece,87,5.227000237,5.325246169,5.128754304,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,1.749221563
6XSYMtvkAuRdnQm0F7i3Bq,Já ég veit,Birnir,is,12/31/17,3,5788,0.817,0.477,1,-7.494,1,0.331,0.0476,0.000111,0.0895,0.711,91.061,180343,4,Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2.322715282
19j4zJpumhQ2v0FottwCdD,Sodom und Gomorrha,Bushido,at,7/10/17,197,1632,0.519,0.833,6,-4.911,0,0.445,0.0626,0,0.255,0.538,91.724,201933,4,Austria,13,7.006000042,7.070669812,6.941330272,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,2.138506413
34LpWATZkEdPw0QxWwDc8E,Þú og ég,Kór Öldutúnsskóla,is,12/24/17,55,3465,0.623,0.615,0,-8.522,1,0.032,0.208,0,0.14,0.462,126.015,187307,4,Iceland,3,7.504000187,7.622030473,7.385969901,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2.322715282
