track,tempo,score
"Dubai Shit",138.076,5.22700023651123
"Es wird Zeit",85.718,7.00600004196167
"春夏秋冬",139.846,5.92000007629395
"Nuestro Secreto",110.113,6.4539999961853
"Regime Fechado - Ao Vivo",137.937,6.63500022888184
SUTRA,180.081,5.49300003051758
Banken,100.017,7.52199983596802
"Andere Liga",96.889,7.00600004196167
"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)",164.062,6.4539999961853
"Angel Zoo",80.022,7.52199983596802
Paradinha,180.054,5.49300003051758
"Baila Morena",208.205,6.4539999961853
"Fénix",160.07,6.09800004959106
"Adiós Amor",177.78,6.57800006866455
"Old School",94.995,6.71400022506714
"Heute mit mir",117.015,7.00600004196167
"Eikö Sua Hävetä",147.044,7.4689998626709
"Dile Que Tu Me Quieres",175.914,5.49300003051758
"Dancing On My Own",112.175,7.28399991989136
Skandale,99.073,7.00600004196167
"La Rompe Corazones",176.018,5.49300003051758
"September Song",95.955,5.84999990463257
"Don't Be So Shy - Filatov & Karas Remix",119.981,7.3769998550415
"Sowieso - Radio Version",127.996,7.00600004196167
"Élnünk Kellett Volna",122.093,5.32399988174438
"Little Boy",139.962,6.71400022506714
Saki,151.971,5.5
"Not Above Love",96.037,7.28399991989136
"You Were Right",122.014,7.28399991989136
"Pull Up N Wreck (& Metro Boomin)",173.095,5.22700023651123
"Já ég veit",91.061,7.50400018692017
"Sodom und Gomorrha",91.724,7.00600004196167
"Þú og ég",126.015,7.50400018692017
"Pejamkan Mata (feat. Dayang Nurfaizah)",159.905,6.08400011062622
"人生は夢だらけ",200.362,5.92000007629395
"Bust Down",146.015,6.99300003051758
Hawaii,130.253,7.00600004196167
"Mevsim Sonbahar",95.998,5.5
Warlordz,89.568,7.00600004196167
"Mask Off",150.062,5.22700023651123
Hanatabanokawarinimelodywo,129.869,5.92000007629395
"普通の今夜のことを ー let tonight be forever remembered ー",176.011,5.92000007629395
"Un Polvo",134.062,5.49300003051758
"A Ella",181.941,5.23000001907349
"Caile (feat. Zion & De La Ghetto)",129.99,5.49300003051758
"När man festar festar man",130.01,7.28399991989136
Trumpets,100.025,6.4539999961853
Sanki,160.034,5.5
Kontrollieren,132.018,7.00600004196167
"No vaya a ser",99.995,5.49300003051758
"All Star",104.034,7.28399991989136
goosebumps,130.049,5.22700023651123
"Den Bedste Julesang Ever",128.026,7.52199983596802
"Se Pone Loca",205.829,6.4539999961853
"Friday Night",128.051,7.28399991989136
Lamborghini,124.053,7.49399995803833
"Play That Song",98.959,7.28399991989136
Turutum,130.015,5.49300003051758
